skill,city,sector,mention_count,week_over_week_change,month_over_month_change,direction,gov_training_seats,gov_courses,has_gov_course,snapshot_date
Dreamweaver,Chandigarh,All,434,-11,-26,declining,0,[],f,2026-03-06 03:15:31.563211+00
Desktop Publishing,Tiruchirappalli,All,432,-20,-62,declining,0,[],f,2026-03-06 03:15:31.687731+00
Cold Calling,Jodhpur,All,432,-24,-74,declining,0,[],f,2026-03-06 03:15:31.633379+00
Dreamweaver,Lucknow,All,432,-7,-22,declining,0,[],f,2026-03-06 03:15:31.511441+00
Filing/Clerical,Guwahati,All,432,-16,-63,declining,0,[],f,2026-03-06 03:15:31.709382+00
Machine Learning,Chandigarh,All,431,34,119,rising,879,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Machine Learning Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.554201+00
Tally Accounting,Varanasi,All,430,-11,-41,declining,0,[],f,2026-03-06 03:15:31.727845+00
Agile/Scrum,Siliguri,All,430,17,47,rising,4566,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Agile/Scrum Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.746999+00
Shorthand,Coimbatore,All,430,-34,-109,declining,0,[],f,2026-03-06 03:15:31.480295+00
Python for Data,Chennai,All,429,26,99,rising,2855,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Python for Data Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.410733+00
Telemarketing,Guwahati,All,429,-22,-84,declining,0,[],f,2026-03-06 03:15:31.709125+00
Data Entry,Kochi,All,429,-22,-77,declining,0,[],f,2026-03-06 03:15:31.568859+00
AI-assisted Content Moderation,Jabalpur,All,428,83,283,rising,0,[],f,2026-03-06 03:15:31.734582+00
LLM Fine-Tuning,Nashik,All,428,32,110,rising,0,[],f,2026-03-06 03:15:31.492517+00
Agile/Scrum,Ranchi,All,428,16,46,rising,3474,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Agile/Scrum Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.641935+00
UI/UX Design,Agra,All,427,17,55,rising,1527,"[{""url"": ""https://nptel.ac.in"", ""name"": ""UI/UX Design Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.714866+00
Product Management,Mumbai,All,427,15,50,rising,0,[],f,2026-03-06 03:15:31.373048+00
Network Cabling,Jabalpur,All,426,-6,-23,declining,0,[],f,2026-03-06 03:15:31.741519+00
Product Management,Jodhpur,All,426,12,47,rising,0,[],f,2026-03-06 03:15:31.630784+00
Agile/Scrum,Patna,All,426,9,39,rising,2468,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Agile/Scrum Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.547182+00
Legacy COBOL,Kolkata,All,426,-6,-26,declining,0,[],f,2026-03-06 03:15:31.428831+00
Data Engineering,Nagpur,All,425,25,85,rising,4197,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Data Engineering Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.453578+00
Natural Language Processing,Chennai,All,425,35,123,rising,0,[],f,2026-03-06 03:15:31.412985+00
Manual Testing,Jaipur,All,424,-13,-58,declining,0,[],f,2026-03-06 03:15:31.486802+00
Manual Bookkeeping,Siliguri,All,424,-14,-54,declining,0,[],f,2026-03-06 03:15:31.749847+00
Manual Testing,Mysuru,All,424,-23,-68,declining,0,[],f,2026-03-06 03:15:31.600682+00
Product Management,Chennai,All,423,10,45,rising,0,[],f,2026-03-06 03:15:31.41423+00
Salesforce,Mumbai,All,423,11,39,rising,1895,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Salesforce Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.373539+00
Natural Language Processing,Hyderabad,All,423,38,126,rising,0,[],f,2026-03-06 03:15:31.402884+00
Cybersecurity,Thiruvananthapuram,All,423,23,91,rising,158,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cybersecurity Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.586631+00
AI Quality Review,Nashik,All,423,34,129,rising,0,[],f,2026-03-06 03:15:31.491537+00
Salesforce,Mysuru,All,423,10,38,rising,1921,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Salesforce Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.59962+00
Telemarketing,Surat,All,422,-23,-85,declining,0,[],f,2026-03-06 03:15:31.540524+00
Data Entry,Nagpur,All,422,-19,-74,declining,0,[],f,2026-03-06 03:15:31.455791+00
Data Engineering,Bangalore,All,422,22,82,rising,4703,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Data Engineering Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.393015+00
Telemarketing,Visakhapatnam,All,422,-27,-89,declining,0,[],f,2026-03-06 03:15:31.582112+00
Hardware Troubleshooting,Mangaluru,All,421,-14,-36,declining,0,[],f,2026-03-06 03:15:31.667816+00
Python for Data,Guwahati,All,421,29,102,rising,207,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Python for Data Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.7011+00
Copy Typing,Bangalore,All,421,-26,-96,declining,0,[],f,2026-03-06 03:15:31.396815+00
Telemarketing,Agra,All,421,-28,-90,declining,0,[],f,2026-03-06 03:15:31.719395+00
Prompt Engineering,Ahmedabad,All,420,39,144,rising,0,[],f,2026-03-06 03:15:31.440399+00
Cybersecurity,Patna,All,420,24,92,rising,1694,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cybersecurity Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.545002+00
Print Media Design,Jodhpur,All,420,-15,-47,declining,0,[],f,2026-03-06 03:15:31.63448+00
Cybersecurity,Agra,All,420,24,92,rising,257,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cybersecurity Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.713343+00
Cloud Computing (AWS),Surat,All,419,29,92,rising,167,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cloud Computing (AWS) Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.533051+00
Legacy COBOL,Patna,All,419,-13,-33,declining,0,[],f,2026-03-06 03:15:31.551682+00
Computer Vision,Guwahati,All,419,22,77,rising,0,[],f,2026-03-06 03:15:31.702152+00
Filing/Clerical,Tiruchirappalli,All,419,-24,-71,declining,0,[],f,2026-03-06 03:15:31.688239+00
Machine Learning,Hubli,All,419,29,114,rising,1437,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Machine Learning Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.670068+00
Basic Excel,Rajkot,All,418,-12,-49,declining,0,[],f,2026-03-06 03:15:31.622216+00
React/Next.js,Dehradun,All,418,20,65,rising,707,"[{""url"": ""https://nptel.ac.in"", ""name"": ""React/Next.js Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.650114+00
Legacy COBOL,Dehradun,All,418,-10,-30,declining,0,[],f,2026-03-06 03:15:31.656967+00
Tableau/Power BI,Thiruvananthapuram,All,418,19,59,rising,1697,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Tableau/Power BI Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.587868+00
Tableau/Power BI,Mysuru,All,418,18,58,rising,1985,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Tableau/Power BI Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.59844+00
Cold Calling,Bhopal,All,417,-21,-71,declining,0,[],f,2026-03-06 03:15:31.518132+00
UI/UX Design,Kochi,All,417,15,53,rising,3648,"[{""url"": ""https://nptel.ac.in"", ""name"": ""UI/UX Design Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.567387+00
Data Engineering,Mumbai,All,417,19,79,rising,1305,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Data Engineering Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.371988+00
Manual Testing,Nagpur,All,417,-23,-68,declining,0,[],f,2026-03-06 03:15:31.456054+00
Voice Support,Chandigarh,All,417,-26,-103,declining,0,[],f,2026-03-06 03:15:31.558401+00
Legacy COBOL,Ranchi,All,416,-5,-25,declining,0,[],f,2026-03-06 03:15:31.646449+00
Data Engineering,Jodhpur,All,416,22,82,rising,196,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Data Engineering Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.62979+00
Shorthand,Patna,All,415,-35,-110,declining,0,[],f,2026-03-06 03:15:31.55243+00
Manual Bookkeeping,Guwahati,All,415,-15,-55,declining,0,[],f,2026-03-06 03:15:31.708092+00
Voice Support,Coimbatore,All,414,-28,-105,declining,0,[],f,2026-03-06 03:15:31.475807+00
Manual Testing,Hubli,All,414,-14,-59,declining,0,[],f,2026-03-06 03:15:31.675006+00
Tableau/Power BI,Kochi,All,414,11,51,rising,134,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Tableau/Power BI Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.567137+00
Data Entry,Jodhpur,All,414,-26,-81,declining,0,[],f,2026-03-06 03:15:31.632084+00
Dreamweaver,Coimbatore,All,413,-9,-24,declining,0,[],f,2026-03-06 03:15:31.480838+00
Computer Vision,Nashik,All,413,21,76,rising,0,[],f,2026-03-06 03:15:31.492761+00
Natural Language Processing,Tiruchirappalli,All,413,34,122,rising,0,[],f,2026-03-06 03:15:31.682558+00
Copy Typing,Lucknow,All,413,-33,-103,declining,0,[],f,2026-03-06 03:15:31.508297+00
Traditional SEO,Pune,All,412,-5,-30,declining,0,[],f,2026-03-06 03:15:31.437774+00
Cold Calling,Agra,All,412,-18,-68,declining,0,[],f,2026-03-06 03:15:31.717865+00
Cybersecurity,Visakhapatnam,All,412,22,90,rising,2577,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cybersecurity Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.576063+00
Print Media Design,Patna,All,412,-14,-46,declining,0,[],f,2026-03-06 03:15:31.550661+00
Natural Language Processing,Varanasi,All,411,35,123,rising,0,[],f,2026-03-06 03:15:31.724261+00
Traditional SEO,Rajkot,All,411,-5,-30,declining,0,[],f,2026-03-06 03:15:31.623783+00
Python for Data,Kolkata,All,411,28,101,rising,1224,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Python for Data Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.420786+00
Python for Data,Mangaluru,All,410,33,106,rising,2916,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Python for Data Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.659119+00
LLM Fine-Tuning,Vadodara,All,410,31,109,rising,0,[],f,2026-03-06 03:15:31.522988+00
Legacy COBOL,Thiruvananthapuram,All,410,-13,-33,declining,0,[],f,2026-03-06 03:15:31.59338+00
Computer Vision,Ranchi,All,409,21,76,rising,0,[],f,2026-03-06 03:15:31.639107+00
Filing/Clerical,Dehradun,All,409,-22,-69,declining,0,[],f,2026-03-06 03:15:31.656714+00
Manual Bookkeeping,Thiruvananthapuram,All,409,-18,-58,declining,0,[],f,2026-03-06 03:15:31.591759+00
AI-assisted Content Moderation,Ranchi,All,408,80,280,rising,0,[],f,2026-03-06 03:15:31.640184+00
Tally Accounting,Hyderabad,All,408,-17,-47,declining,0,[],f,2026-03-06 03:15:31.406086+00
PHP Development,Chennai,All,408,-16,-51,declining,0,[],f,2026-03-06 03:15:31.41655+00
Computer Vision,Siliguri,All,408,19,74,rising,0,[],f,2026-03-06 03:15:31.744286+00
AI Quality Review,Visakhapatnam,All,408,37,132,rising,0,[],f,2026-03-06 03:15:31.574034+00
Tableau/Power BI,Jodhpur,All,407,15,55,rising,4759,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Tableau/Power BI Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.630281+00
Computer Vision,Chennai,All,407,23,78,rising,0,[],f,2026-03-06 03:15:31.411738+00
Traditional SEO,Madurai,All,406,-14,-39,declining,0,[],f,2026-03-06 03:15:31.613173+00
Python for Data,Thiruvananthapuram,All,406,26,99,rising,4470,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Python for Data Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.584739+00
Kubernetes/Docker,Jodhpur,All,406,19,67,rising,0,[],f,2026-03-06 03:15:31.630031+00
Salesforce,Coimbatore,All,406,14,42,rising,3924,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Salesforce Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.475312+00
Tally Accounting,Pune,All,406,-11,-41,declining,0,[],f,2026-03-06 03:15:31.436539+00
Prompt Engineering,Dehradun,All,405,44,149,rising,0,[],f,2026-03-06 03:15:31.647947+00
Voice Support,Ahmedabad,All,405,-31,-108,declining,0,[],f,2026-03-06 03:15:31.44547+00
Data Engineering,Raipur,All,405,25,85,rising,3700,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Data Engineering Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.693362+00
Manual Bookkeeping,Vadodara,All,405,-20,-60,declining,0,[],f,2026-03-06 03:15:31.528994+00
Cold Calling,Jabalpur,All,405,-22,-72,declining,0,[],f,2026-03-06 03:15:31.738846+00
Legacy COBOL,Jabalpur,All,405,-10,-30,declining,0,[],f,2026-03-06 03:15:31.741019+00
UI/UX Design,Jabalpur,All,404,20,58,rising,3503,"[{""url"": ""https://nptel.ac.in"", ""name"": ""UI/UX Design Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.735906+00
Network Cabling,Visakhapatnam,All,404,-8,-25,declining,0,[],f,2026-03-06 03:15:31.583132+00
Cloud Computing (AWS),Ranchi,All,404,22,85,rising,626,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cloud Computing (AWS) Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.638313+00
VB.NET,Delhi,All,404,-15,-42,declining,0,[],f,2026-03-06 03:15:31.389322+00
Network Cabling,Bangalore,All,404,-3,-20,declining,0,[],f,2026-03-06 03:15:31.399193+00
Network Cabling,Lucknow,All,404,-4,-21,declining,0,[],f,2026-03-06 03:15:31.510577+00
Network Cabling,Hubli,All,403,-3,-20,declining,0,[],f,2026-03-06 03:15:31.678579+00
PHP Development,Surat,All,403,-16,-51,declining,0,[],f,2026-03-06 03:15:31.538748+00
Data Entry,Ranchi,All,403,-25,-80,declining,0,[],f,2026-03-06 03:15:31.643052+00
Prompt Engineering,Mysuru,All,403,39,144,rising,0,[],f,2026-03-06 03:15:31.594955+00
Data Engineering,Varanasi,All,403,19,79,rising,1387,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Data Engineering Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.724524+00
Blockchain,Jabalpur,All,402,12,37,rising,0,[],f,2026-03-06 03:15:31.736947+00
Salesforce,Rajkot,All,402,12,40,rising,2391,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Salesforce Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.62092+00
Data Engineering,Vadodara,All,401,29,89,rising,2615,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Data Engineering Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.524714+00
Natural Language Processing,Coimbatore,All,401,39,127,rising,0,[],f,2026-03-06 03:15:31.473559+00
Agile/Scrum,Rajkot,All,401,14,44,rising,1264,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Agile/Scrum Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.620663+00
Cybersecurity,Pune,All,401,29,97,rising,3140,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cybersecurity Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.432616+00
Salesforce,Thiruvananthapuram,All,400,11,39,rising,278,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Salesforce Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.588868+00
LLM Fine-Tuning,Bangalore,All,400,31,109,rising,0,[],f,2026-03-06 03:15:31.391265+00
Cold Calling,Mangaluru,All,400,-16,-66,declining,0,[],f,2026-03-06 03:15:31.665517+00
Cloud Computing (AWS),Bhopal,All,400,24,87,rising,407,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cloud Computing (AWS) Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.512456+00
UI/UX Design,Hyderabad,All,400,16,54,rising,769,"[{""url"": ""https://nptel.ac.in"", ""name"": ""UI/UX Design Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.40386+00
Cloud Computing (AWS),Jaipur,All,399,20,83,rising,2024,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cloud Computing (AWS) Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.481846+00
Data Entry,Dehradun,All,399,-22,-77,declining,0,[],f,2026-03-06 03:15:31.653469+00
AI-assisted Content Moderation,Dehradun,All,399,79,279,rising,0,[],f,2026-03-06 03:15:31.650656+00
Tableau/Power BI,Tiruchirappalli,All,398,19,59,rising,3962,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Tableau/Power BI Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.683358+00
Data Engineering,Kochi,All,398,28,88,rising,4803,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Data Engineering Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.566636+00
Cold Calling,Madurai,All,398,-20,-70,declining,0,[],f,2026-03-06 03:15:31.612432+00
Telemarketing,Ahmedabad,All,398,-22,-84,declining,0,[],f,2026-03-06 03:15:31.448476+00
Desktop Publishing,Madurai,All,397,-22,-64,declining,0,[],f,2026-03-06 03:15:31.613679+00
Machine Learning,Bangalore,All,397,29,114,rising,1845,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Machine Learning Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.39097+00
Machine Learning,Raipur,All,397,31,116,rising,4460,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Machine Learning Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.691215+00
PHP Development,Thiruvananthapuram,All,397,-13,-48,declining,0,[],f,2026-03-06 03:15:31.590971+00
Cold Calling,Mysuru,All,397,-18,-68,declining,0,[],f,2026-03-06 03:15:31.601726+00
LLM Fine-Tuning,Jodhpur,All,396,32,110,rising,0,[],f,2026-03-06 03:15:31.628075+00
LLM Fine-Tuning,Indore,All,396,34,112,rising,0,[],f,2026-03-06 03:15:31.461914+00
React/Next.js,Tiruchirappalli,All,396,16,61,rising,3394,"[{""url"": ""https://nptel.ac.in"", ""name"": ""React/Next.js Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.681793+00
Manual Testing,Madurai,All,395,-20,-65,declining,0,[],f,2026-03-06 03:15:31.611404+00
AI-assisted Content Moderation,Delhi,All,395,79,279,rising,0,[],f,2026-03-06 03:15:31.382452+00
Manual Testing,Coimbatore,All,395,-19,-64,declining,0,[],f,2026-03-06 03:15:31.47644+00
React/Next.js,Nashik,All,394,17,62,rising,1849,"[{""url"": ""https://nptel.ac.in"", ""name"": ""React/Next.js Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.493263+00
Shorthand,Mysuru,All,394,-33,-108,declining,0,[],f,2026-03-06 03:15:31.604783+00
Natural Language Processing,Nagpur,All,394,37,125,rising,0,[],f,2026-03-06 03:15:31.453322+00
DevOps/CI-CD,Pune,All,394,21,71,rising,2992,"[{""url"": ""https://nptel.ac.in"", ""name"": ""DevOps/CI-CD Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.43206+00
Filing/Clerical,Rajkot,All,394,-21,-68,declining,0,[],f,2026-03-06 03:15:31.62479+00
Cloud Computing (AWS),Rajkot,All,394,23,86,rising,2695,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cloud Computing (AWS) Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.616763+00
DevOps/CI-CD,Guwahati,All,393,18,68,rising,1719,"[{""url"": ""https://nptel.ac.in"", ""name"": ""DevOps/CI-CD Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.702412+00
Print Media Design,Jaipur,All,393,-13,-45,declining,0,[],f,2026-03-06 03:15:31.48878+00
Blockchain,Mumbai,All,393,11,36,rising,0,[],f,2026-03-06 03:15:31.373805+00
Copy Typing,Vadodara,All,393,-26,-96,declining,0,[],f,2026-03-06 03:15:31.528741+00
Print Media Design,Madurai,All,392,-10,-42,declining,0,[],f,2026-03-06 03:15:31.61343+00
AI Quality Review,Jodhpur,All,392,43,138,rising,0,[],f,2026-03-06 03:15:31.627016+00
Agile/Scrum,Kochi,All,391,8,38,rising,1276,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Agile/Scrum Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.567872+00
Basic Excel,Bangalore,All,390,-19,-56,declining,0,[],f,2026-03-06 03:15:31.395816+00
UI/UX Design,Mysuru,All,390,14,52,rising,3285,"[{""url"": ""https://nptel.ac.in"", ""name"": ""UI/UX Design Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.598701+00
Tableau/Power BI,Coimbatore,All,390,15,55,rising,1948,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Tableau/Power BI Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.474296+00
Copy Typing,Kochi,All,390,-26,-96,declining,0,[],f,2026-03-06 03:15:31.570444+00
Cold Calling,Indore,All,390,-22,-72,declining,0,[],f,2026-03-06 03:15:31.467293+00
Agile/Scrum,Thiruvananthapuram,All,390,17,47,rising,3226,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Agile/Scrum Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.588618+00
Telemarketing,Raipur,All,389,-24,-86,declining,0,[],f,2026-03-06 03:15:31.698577+00
UI/UX Design,Delhi,All,389,12,50,rising,722,"[{""url"": ""https://nptel.ac.in"", ""name"": ""UI/UX Design Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.383672+00
React/Next.js,Kochi,All,388,18,63,rising,1465,"[{""url"": ""https://nptel.ac.in"", ""name"": ""React/Next.js Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.565601+00
Product Management,Nagpur,All,388,18,53,rising,0,[],f,2026-03-06 03:15:31.454577+00
Data Entry,Tiruchirappalli,All,388,-26,-81,declining,0,[],f,2026-03-06 03:15:31.685125+00
Traditional SEO,Bangalore,All,388,-6,-31,declining,0,[],f,2026-03-06 03:15:31.397296+00
Product Management,Indore,All,388,12,47,rising,0,[],f,2026-03-06 03:15:31.464782+00
Telemarketing,Nashik,All,387,-20,-82,declining,0,[],f,2026-03-06 03:15:31.499404+00
PHP Development,Visakhapatnam,All,387,-13,-48,declining,0,[],f,2026-03-06 03:15:31.580209+00
Filing/Clerical,Vadodara,All,385,-14,-61,declining,0,[],f,2026-03-06 03:15:31.530331+00
React/Next.js,Lucknow,All,385,21,66,rising,3732,"[{""url"": ""https://nptel.ac.in"", ""name"": ""React/Next.js Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.50359+00
Blockchain,Surat,All,385,9,34,rising,0,[],f,2026-03-06 03:15:31.537171+00
Tally Accounting,Bhopal,All,385,-15,-45,declining,0,[],f,2026-03-06 03:15:31.517638+00
Shorthand,Jodhpur,All,384,-31,-106,declining,0,[],f,2026-03-06 03:15:31.636692+00
Voice Support,Patna,All,384,-28,-105,declining,0,[],f,2026-03-06 03:15:31.547932+00
Hardware Troubleshooting,Varanasi,All,384,-10,-32,declining,0,[],f,2026-03-06 03:15:31.730614+00
Filing/Clerical,Kochi,All,383,-21,-68,declining,0,[],f,2026-03-06 03:15:31.571913+00
Agile/Scrum,Jaipur,All,383,8,38,rising,2261,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Agile/Scrum Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.485544+00
PHP Development,Indore,All,383,-19,-54,declining,0,[],f,2026-03-06 03:15:31.467048+00
Computer Vision,Bangalore,All,382,26,81,rising,0,[],f,2026-03-06 03:15:31.391538+00
Telemarketing,Thiruvananthapuram,All,382,-25,-87,declining,0,[],f,2026-03-06 03:15:31.592836+00
Agile/Scrum,Pune,All,382,13,43,rising,2450,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Agile/Scrum Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.434784+00
Basic Excel,Nagpur,All,381,-17,-54,declining,0,[],f,2026-03-06 03:15:31.4563+00
Data Engineering,Mangaluru,All,381,29,89,rising,1881,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Data Engineering Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.661802+00
Dreamweaver,Madurai,All,381,-6,-21,declining,0,[],f,2026-03-06 03:15:31.61572+00
Filing/Clerical,Hubli,All,380,-22,-69,declining,0,[],f,2026-03-06 03:15:31.67783+00
Print Media Design,Thiruvananthapuram,All,380,-10,-42,declining,0,[],f,2026-03-06 03:15:31.592332+00
Shorthand,Mangaluru,All,380,-29,-104,declining,0,[],f,2026-03-06 03:15:31.668331+00
React/Next.js,Jabalpur,All,380,18,63,rising,412,"[{""url"": ""https://nptel.ac.in"", ""name"": ""React/Next.js Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.734077+00
Copy Typing,Raipur,All,380,-27,-97,declining,0,[],f,2026-03-06 03:15:31.697178+00
Data Entry,Chennai,All,380,-21,-76,declining,0,[],f,2026-03-06 03:15:31.415446+00
Print Media Design,Mumbai,All,379,-14,-46,declining,0,[],f,2026-03-06 03:15:31.376757+00
Hardware Troubleshooting,Madurai,All,379,-12,-34,declining,0,[],f,2026-03-06 03:15:31.614706+00
Network Cabling,Siliguri,All,378,-11,-28,declining,0,[],f,2026-03-06 03:15:31.752059+00
Cybersecurity,Ahmedabad,All,378,29,97,rising,1546,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cybersecurity Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.44275+00
Data Engineering,Ahmedabad,All,377,21,81,rising,2122,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Data Engineering Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.443505+00
Product Management,Vadodara,All,377,17,52,rising,0,[],f,2026-03-06 03:15:31.525786+00
Product Management,Pune,All,376,16,51,rising,0,[],f,2026-03-06 03:15:31.434527+00
Kubernetes/Docker,Kolkata,All,376,19,67,rising,0,[],f,2026-03-06 03:15:31.423494+00
AI Quality Review,Kochi,All,376,33,128,rising,0,[],f,2026-03-06 03:15:31.563695+00
Agile/Scrum,Surat,All,376,11,41,rising,1799,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Agile/Scrum Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.536642+00
Network Cabling,Ahmedabad,All,376,-11,-28,declining,0,[],f,2026-03-06 03:15:31.44952+00
Product Management,Coimbatore,All,375,18,53,rising,0,[],f,2026-03-06 03:15:31.474813+00
Salesforce,Ahmedabad,All,375,14,42,rising,2973,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Salesforce Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.444981+00
